13, 14, 17, 9, 18, 2, 8, 16, 6, 4, 11, 19, 20, 15, 3
13, 16, 10, 8, 1, 19, 11, 3, 20, 9, 2, 12, 4, 17, 6
20, 1, 9, 11, 3, 16, 10, 19, 8, 12, 18, 6, 13, 2, 15
17, 8, 11, 1, 3, 12, 10, 14, 13, 16, 4, 15, 6, 2, 20
10, 3, 16, 7, 15, 17, 11, 19, 20, 8, 18, 5, 1, 12, 14
14, 6, 15, 19, 5, 7, 12, 3, 1, 18, 4, 8, 20, 2, 16
3, 15, 18, 6, 16, 19, 13, 17, 10, 4, 20, 7, 14, 8, 9
12, 10, 11, 9, 17, 6, 3, 14, 19, 18, 5, 8, 20, 16, 13
4, 6, 15, 2, 14, 19, 9, 3, 20, 12, 1, 8, 16, 11, 18
20, 13, 11, 10, 1, 9, 12, 4, 3, 2, 19, 5, 17, 7, 6
11, 20, 17, 2, 10, 8, 3, 6, 7, 19, 5, 14, 4, 12, 18
2, 12, 13, 9, 14, 7, 17, 11, 4, 16, 15, 6, 5, 3, 1
7, 11, 19, 1, 8, 9, 20, 14, 13, 6, 12, 10, 15, 17, 3
17, 12, 15, 3, 6, 9, 20, 1, 7, 2, 10, 16, 13, 14, 8
4, 3, 11, 13, 10, 1, 20, 12, 7, 5, 16, 9, 6, 14, 8
1, 18, 4, 9, 15, 20, 19, 8, 16, 2, 10, 13, 12, 5, 7
14, 9, 7, 5, 13, 16, 3, 8, 2, 19, 1, 17, 20, 10, 12
12, 17, 8, 15, 18, 4, 16, 5, 10, 1, 2, 13, 19, 20, 11
13, 14, 3, 4, 2, 7, 19, 5, 1, 6, 18, 16, 9, 10, 11
7, 19, 2, 3, 1, 15, 13, 20, 5, 18, 6, 10, 9, 17, 11
17, 12, 16, 4, 19, 5, 14, 3, 10, 2, 11, 15, 6, 9, 8
3, 12, 7, 8, 18, 2, 13, 20, 17, 10, 6, 11, 15, 5, 9
16, 10, 15, 13, 11, 7, 9, 12, 14, 19, 18, 8, 4, 17, 5
3, 16, 4, 10, 12, 6, 20, 7, 1, 11, 13, 14, 8, 15, 5
2, 16, 8, 15, 19, 1, 14, 6, 3, 4, 11, 17, 5, 13, 20
1, 5, 4, 3, 16, 10, 6, 18, 11, 13, 15, 7, 8, 20, 9
6, 1, 10, 13, 16, 11, 2, 20, 18, 17, 3, 9, 4, 15, 14
11, 14, 4, 6, 16, 17, 18, 12, 8, 15, 3, 19, 9, 2, 13
13, 9, 18, 15, 19, 6, 11, 14, 10, 5, 3, 17, 16, 20, 2
19, 13, 20, 15, 1, 3, 12, 8, 17, 7, 2, 5, 9, 14, 11
1, 16, 18, 3, 17, 12, 20, 10, 2, 13, 5, 15, 9, 11, 14
15, 11, 16, 10, 7, 17, 20, 4, 19, 18, 8, 9, 5, 14, 13
5, 16, 19, 13, 18, 17, 1, 12, 20, 3, 4, 8, 15, 2, 9
13, 16, 6, 17, 5, 14, 7, 18, 11, 3, 9, 8, 20, 2, 12
9, 8, 5, 2, 6, 11, 13, 7, 4, 17, 15, 20, 18, 3, 14
11, 4, 13, 19, 6, 8, 9, 14, 2, 20, 3, 1, 16, 18, 17
18, 10, 15, 6, 7, 11, 8, 19, 17, 14, 16, 13, 1, 3, 20
16, 5, 12, 1, 8, 6, 18, 17, 7, 4, 3, 14, 20, 13, 9
5, 8, 18, 4, 1, 9, 16, 7, 13, 15, 10, 11, 12, 6, 2
19, 14, 18, 11, 13, 17, 2, 9, 16, 3, 7, 10, 4, 12, 20
11, 8, 19, 15, 18, 4, 20, 14, 1, 10, 3, 12, 6, 5, 9
18, 9, 3, 14, 10, 20, 7, 2, 12, 17, 15, 5, 16, 6, 19
15, 17, 3, 19, 8, 7, 16, 10, 5, 4, 1, 2, 6, 18, 11
15, 3, 12, 18, 10, 16, 17, 14, 1, 5, 19, 2, 20, 6, 4
4, 10, 11, 8, 5, 15, 19, 16, 12, 2, 20, 9, 14, 1, 6
2, 12, 4, 18, 5, 11, 3, 7, 9, 17, 19, 15, 14, 10, 13
20, 8, 15, 6, 19, 5, 1, 14, 7, 9, 17, 11, 10, 16, 18
5, 9, 11, 2, 13, 6, 18, 3, 7, 15, 12, 14, 17, 4, 20
9, 13, 12, 11, 19, 3, 14, 10, 18, 17, 8, 1, 16, 15, 5
12, 14, 8, 11, 20, 18, 6, 2, 5, 3, 1, 7, 17, 9, 19
5, 2, 19, 17, 11, 3, 8, 14, 6, 12, 15, 18, 16, 7, 10
20, 8, 9, 7, 19, 17, 13, 4, 2, 15, 14, 1, 6, 5, 11
1, 3, 19, 13, 4, 18, 2, 10, 9, 8, 12, 6, 16, 11, 20
18, 19, 6, 7, 14, 9, 13, 4, 20, 3, 1, 11, 16, 8, 10
19, 3, 7, 1, 14, 18, 20, 5, 12, 13, 15, 4, 6, 10, 11
8, 20, 4, 18, 9, 16, 19, 13, 15, 5, 2, 6, 12, 17, 7
11, 2, 4, 19, 17, 8, 20, 13, 1, 7, 6, 18, 9, 3, 5
6, 12, 11, 10, 18, 15, 5, 4, 7, 17, 16, 3, 13, 1, 2
5, 3, 9, 20, 2, 4, 13, 6, 7, 18, 8, 17, 12, 14, 19
6, 11, 17, 4, 7, 1, 15, 19, 20, 10, 13, 14, 3, 5, 8
1, 10, 17, 12, 11, 6, 4, 5, 16, 15, 20, 18, 8, 7, 19
1, 13, 19, 8, 6, 15, 4, 20, 2, 5, 7, 17, 3, 16, 11
14, 18, 7, 17, 11, 6, 3, 8, 1, 2, 5, 20, 16, 12, 10
20, 17, 19, 13, 14, 8, 11, 1, 4, 6, 9, 16, 18, 2, 10
5, 10, 19, 4, 13, 14, 16, 20, 9, 11, 8, 3, 18, 15, 6
10, 17, 7, 6, 9, 13, 11, 2, 4, 20, 15, 12, 1, 5, 14
11, 7, 14, 5, 15, 9, 1, 10, 4, 18, 20, 6, 13, 17, 16
8, 20, 3, 18, 7, 2, 19, 5, 11, 15, 4, 17, 1, 16, 12
9, 17, 1, 6, 11, 2, 7, 10, 14, 18, 5, 19, 3, 20, 13
1, 20, 3, 9, 6, 7, 19, 16, 2, 15, 12, 8, 14, 11, 10
12, 2, 1, 14, 6, 16, 8, 10, 17, 5, 4, 15, 9, 7, 19
8, 7, 4, 9, 13, 1, 6, 17, 20, 5, 12, 11, 10, 2, 14
4, 20, 12, 6, 18, 19, 5, 8, 15, 2, 10, 11, 3, 16, 14
12, 5, 9, 17, 1, 10, 13, 18, 7, 16, 4, 8, 11, 2, 20
13, 9, 15, 14, 11, 3, 12, 18, 1, 17, 4, 10, 16, 2, 20
8, 10, 19, 17, 2, 16, 7, 18, 20, 15, 3, 14, 12, 11, 9
2, 3, 17, 12, 9, 15, 10, 5, 13, 7, 6, 20, 19, 1, 18
5, 3, 6, 20, 18, 7, 16, 1, 2, 10, 19, 4, 8, 17, 14
8, 15, 11, 1, 6, 5, 12, 17, 3, 9, 14, 16, 2, 20, 7
5, 17, 3, 4, 13, 10, 11, 6, 2, 14, 9, 18, 8, 19, 12
3, 5, 11, 7, 12, 20, 2, 16, 13, 17, 4, 8, 9, 14, 10
7, 19, 8, 11, 14, 5, 3, 13, 20, 2, 6, 12, 18, 1, 4
13, 10, 3, 7, 6, 17, 11, 4, 15, 8, 19, 12, 1, 16, 9
11, 14, 10, 8, 3, 2, 4, 1, 6, 12, 5, 18, 17, 19, 13
13, 15, 7, 19, 9, 17, 14, 10, 12, 6, 3, 2, 11, 5, 18
2, 4, 18, 9, 13, 1, 15, 7, 10, 8, 3, 16, 6, 19, 11
6, 2, 1, 18, 17, 13, 20, 5, 15, 19, 12, 8, 7, 9, 14
11, 1, 12, 3, 14, 6, 17, 9, 2, 5, 13, 16, 15, 18, 19
11, 6, 3, 1, 7, 13, 15, 17, 5, 14, 12, 10, 9, 2, 19
7, 5, 12, 11, 18, 15, 14, 6, 17, 8, 2, 4, 13, 20, 19
17, 14, 19, 5, 12, 8, 10, 18, 13, 6, 20, 9, 7, 1, 3
2, 13, 20, 16, 4, 11, 17, 7, 19, 14, 1, 12, 6, 10, 15
16, 7, 9, 2, 5, 1, 8, 10, 19, 11, 18, 14, 20, 13, 15
16, 13, 7, 10, 12, 19, 4, 1, 17, 8, 11, 2, 5, 20, 9
2, 18, 12, 17, 8, 11, 4, 13, 15, 9, 1, 5, 10, 20, 7
15, 6, 7, 1, 10, 19, 20, 14, 16, 9, 18, 2, 17, 4, 5
18, 4, 5, 11, 16, 17, 10, 9, 19, 20, 13, 6, 8, 14, 12
10, 14, 18, 12, 9, 5, 20, 19, 16, 4, 11, 2, 13, 15, 1
19, 7, 18, 8, 12, 3, 4, 14, 6, 11, 9, 1, 20, 5, 2
14, 2, 8, 10, 6, 19, 12, 7, 17, 13, 3, 15, 5, 16, 9
